data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,label
42 ,65 ,91 ,7 ,40 ,91 ,18 ,83 ,80 ,26 ,1
13 ,100 ,74 ,20 ,16 ,26 ,7 ,52 ,33 ,92 ,1
25 ,82 ,78 ,27 ,50 ,84 ,13 ,84 ,73 ,10 ,1
22 ,53 ,57 ,36 ,97 ,21 ,12 ,5 ,4 ,52 ,1
32 ,89 ,78 ,12 ,18 ,81 ,36 ,58 ,89 ,31 ,1
30 ,93 ,66 ,41 ,97 ,56 ,35 ,46 ,8 ,38 ,1
48 ,62 ,53 ,49 ,43 ,41 ,16 ,82 ,14 ,75 ,1
1 ,80 ,64 ,18 ,3 ,39 ,1 ,64 ,56 ,47 ,1
3 ,84 ,98 ,6 ,90 ,68 ,5 ,48 ,34 ,4 ,1
19 ,60 ,63 ,25 ,63 ,84 ,45 ,82 ,98 ,37 ,1
28 ,77 ,92 ,5 ,32 ,5 ,19 ,11 ,44 ,7 ,1
5 ,68 ,90 ,4 ,70 ,93 ,42 ,67 ,64 ,7 ,1
11 ,97 ,63 ,34 ,48 ,90 ,34 ,20 ,61 ,5 ,1
11 ,71 ,83 ,19 ,54 ,48 ,18 ,37 ,37 ,53 ,1
42 ,74 ,59 ,31 ,28 ,21 ,31 ,50 ,27 ,10 ,1
28 ,52 ,85 ,20 ,7 ,16 ,4 ,3 ,57 ,28 ,1
49 ,69 ,61 ,16 ,59 ,97 ,30 ,36 ,2 ,39 ,1
46 ,67 ,62 ,20 ,48 ,78 ,35 ,79 ,64 ,16 ,1
26 ,59 ,61 ,5 ,40 ,100 ,43 ,25 ,3 ,26 ,1
1 ,78 ,83 ,17 ,30 ,57 ,9 ,24 ,48 ,74 ,1
7 ,54 ,81 ,23 ,61 ,19 ,27 ,93 ,41 ,94 ,1
49 ,57 ,97 ,24 ,30 ,13 ,43 ,85 ,56 ,87 ,1
30 ,56 ,94 ,34 ,25 ,54 ,44 ,32 ,61 ,76 ,1
8 ,69 ,86 ,22 ,28 ,39 ,41 ,55 ,73 ,43 ,1
31 ,78 ,51 ,19 ,39 ,75 ,40 ,66 ,27 ,64 ,1
48 ,59 ,88 ,42 ,75 ,98 ,40 ,67 ,54 ,72 ,1
14 ,80 ,60 ,29 ,42 ,95 ,44 ,54 ,31 ,0 ,1
30 ,54 ,99 ,2 ,55 ,89 ,21 ,37 ,2 ,17 ,1
26 ,63 ,90 ,18 ,6 ,67 ,39 ,50 ,68 ,3 ,1
3 ,98 ,51 ,48 ,56 ,66 ,27 ,74 ,62 ,3 ,1
44 ,90 ,53 ,14 ,39 ,36 ,11 ,49 ,25 ,17 ,1
42 ,76 ,93 ,2 ,78 ,6 ,30 ,71 ,76 ,44 ,1
46 ,71 ,55 ,44 ,85 ,43 ,37 ,86 ,35 ,5 ,1
35 ,98 ,65 ,6 ,73 ,98 ,40 ,55 ,25 ,88 ,1
18 ,94 ,88 ,45 ,2 ,10 ,24 ,61 ,54 ,46 ,1
37 ,80 ,98 ,24 ,96 ,24 ,42 ,43 ,76 ,96 ,1
7 ,96 ,71 ,24 ,82 ,65 ,21 ,67 ,49 ,7 ,1
18 ,73 ,73 ,16 ,43 ,58 ,36 ,48 ,52 ,64 ,1
30 ,100 ,66 ,47 ,21 ,88 ,35 ,34 ,34 ,9 ,1
41 ,93 ,69 ,19 ,31 ,3 ,39 ,59 ,80 ,65 ,1
48 ,83 ,96 ,11 ,79 ,25 ,39 ,67 ,11 ,42 ,1
28 ,75 ,53 ,41 ,10 ,42 ,41 ,19 ,85 ,40 ,1
18 ,58 ,77 ,3 ,99 ,60 ,8 ,7 ,88 ,42 ,1
46 ,78 ,76 ,39 ,42 ,12 ,26 ,65 ,38 ,98 ,1
7 ,88 ,89 ,35 ,37 ,87 ,26 ,18 ,95 ,68 ,1
20 ,62 ,88 ,27 ,91 ,6 ,29 ,59 ,38 ,36 ,1
7 ,91 ,54 ,20 ,46 ,79 ,21 ,51 ,56 ,92 ,1
39 ,57 ,69 ,19 ,88 ,75 ,33 ,87 ,57 ,10 ,1
47 ,52 ,82 ,9 ,61 ,70 ,39 ,80 ,38 ,89 ,1
18 ,99 ,64 ,36 ,85 ,62 ,1 ,48 ,37 ,18 ,1
35 ,82 ,72 ,18 ,27 ,70 ,9 ,35 ,77 ,40 ,1
19 ,61 ,56 ,46 ,43 ,16 ,41 ,9 ,1 ,30 ,1
21 ,88 ,54 ,26 ,47 ,9 ,5 ,97 ,66 ,78 ,1
17 ,82 ,87 ,7 ,1 ,28 ,38 ,49 ,28 ,64 ,1
26 ,72 ,96 ,0 ,98 ,92 ,10 ,0 ,31 ,28 ,1
23 ,56 ,73 ,40 ,8 ,89 ,49 ,33 ,5 ,29 ,1
3 ,79 ,83 ,36 ,27 ,59 ,6 ,56 ,39 ,40 ,1
35 ,75 ,83 ,1 ,80 ,55 ,26 ,2 ,33 ,38 ,1
47 ,73 ,55 ,44 ,85 ,68 ,45 ,3 ,33 ,3 ,1
10 ,78 ,90 ,9 ,82 ,63 ,49 ,56 ,12 ,90 ,1
43 ,81 ,60 ,2 ,95 ,6 ,11 ,58 ,19 ,43 ,1
30 ,72 ,68 ,15 ,62 ,37 ,3 ,60 ,73 ,13 ,1
26 ,97 ,98 ,13 ,34 ,40 ,10 ,22 ,44 ,9 ,1
0 ,96 ,64 ,20 ,70 ,30 ,26 ,6 ,20 ,89 ,1
37 ,57 ,72 ,19 ,85 ,86 ,16 ,66 ,89 ,7 ,1
17 ,54 ,85 ,2 ,32 ,47 ,37 ,77 ,12 ,8 ,1
19 ,73 ,58 ,27 ,37 ,18 ,16 ,47 ,33 ,57 ,1
49 ,91 ,74 ,34 ,12 ,67 ,25 ,6 ,3 ,68 ,1
30 ,68 ,70 ,25 ,13 ,46 ,36 ,39 ,68 ,14 ,1
27 ,73 ,63 ,19 ,18 ,83 ,49 ,45 ,70 ,42 ,1
39 ,75 ,54 ,26 ,30 ,43 ,28 ,23 ,96 ,28 ,1
48 ,69 ,77 ,21 ,36 ,49 ,5 ,3 ,70 ,92 ,1
10 ,51 ,84 ,8 ,45 ,83 ,37 ,77 ,29 ,29 ,1
12 ,96 ,89 ,11 ,77 ,76 ,45 ,74 ,13 ,62 ,1
20 ,91 ,92 ,36 ,30 ,36 ,19 ,43 ,52 ,68 ,1
21 ,95 ,93 ,13 ,0 ,70 ,0 ,50 ,96 ,56 ,1
18 ,73 ,68 ,46 ,73 ,7 ,35 ,95 ,81 ,11 ,1
11 ,71 ,69 ,25 ,21 ,25 ,15 ,42 ,5 ,79 ,1
9 ,57 ,76 ,1 ,7 ,15 ,24 ,58 ,20 ,69 ,1
26 ,99 ,89 ,37 ,75 ,99 ,19 ,9 ,61 ,79 ,1
26 ,100 ,65 ,41 ,71 ,53 ,1 ,41 ,80 ,21 ,1
34 ,97 ,100 ,30 ,82 ,41 ,0 ,53 ,60 ,25 ,1
47 ,91 ,52 ,41 ,98 ,57 ,46 ,41 ,0 ,89 ,1
33 ,59 ,96 ,30 ,60 ,29 ,5 ,51 ,40 ,81 ,1
2 ,77 ,98 ,45 ,19 ,48 ,39 ,92 ,82 ,86 ,1
36 ,67 ,71 ,19 ,77 ,16 ,22 ,10 ,23 ,44 ,1
30 ,88 ,55 ,5 ,60 ,81 ,7 ,36 ,76 ,35 ,1
34 ,84 ,96 ,14 ,55 ,17 ,41 ,12 ,25 ,36 ,1
13 ,99 ,66 ,15 ,68 ,96 ,26 ,50 ,10 ,93 ,1
24 ,62 ,67 ,28 ,21 ,52 ,48 ,94 ,97 ,63 ,1
40 ,56 ,59 ,19 ,42 ,30 ,7 ,68 ,33 ,59 ,1
22 ,79 ,89 ,33 ,30 ,34 ,7 ,61 ,27 ,98 ,1
10 ,94 ,59 ,29 ,32 ,18 ,19 ,35 ,91 ,12 ,1
4 ,59 ,82 ,36 ,34 ,75 ,44 ,37 ,9 ,100 ,1
1 ,92 ,62 ,16 ,6 ,41 ,38 ,60 ,5 ,16 ,1
8 ,56 ,54 ,36 ,44 ,98 ,29 ,45 ,20 ,26 ,1
0 ,78 ,63 ,29 ,54 ,67 ,16 ,65 ,71 ,36 ,1
47 ,75 ,68 ,31 ,77 ,64 ,23 ,52 ,83 ,73 ,1
25 ,56 ,70 ,6 ,48 ,98 ,15 ,92 ,82 ,30 ,1
30 ,76 ,88 ,41 ,17 ,20 ,37 ,3 ,53 ,39 ,1
9 ,73 ,54 ,16 ,33 ,94 ,35 ,7 ,46 ,75 ,1
23 ,95 ,59 ,8 ,38 ,95 ,0 ,26 ,53 ,98 ,1
24 ,96 ,100 ,24 ,14 ,51 ,9 ,56 ,39 ,42 ,1
5 ,54 ,77 ,41 ,63 ,79 ,9 ,29 ,74 ,93 ,1
45 ,70 ,83 ,32 ,41 ,87 ,27 ,84 ,37 ,79 ,1
29 ,70 ,58 ,29 ,54 ,5 ,33 ,47 ,76 ,54 ,1
20 ,62 ,61 ,12 ,93 ,92 ,9 ,63 ,43 ,89 ,1
11 ,56 ,92 ,21 ,65 ,92 ,10 ,16 ,64 ,4 ,1
14 ,72 ,79 ,10 ,61 ,3 ,28 ,80 ,35 ,83 ,1
39 ,85 ,84 ,11 ,29 ,77 ,3 ,3 ,55 ,33 ,1
19 ,58 ,88 ,26 ,54 ,44 ,22 ,71 ,59 ,34 ,1
47 ,62 ,71 ,18 ,25 ,31 ,17 ,5 ,31 ,7 ,1
32 ,84 ,87 ,18 ,89 ,92 ,43 ,97 ,33 ,43 ,1
1 ,90 ,88 ,42 ,58 ,70 ,27 ,41 ,42 ,24 ,1
24 ,87 ,65 ,0 ,74 ,80 ,38 ,78 ,12 ,81 ,1
9 ,67 ,100 ,9 ,88 ,79 ,0 ,39 ,35 ,3 ,1
27 ,54 ,58 ,25 ,75 ,73 ,48 ,64 ,73 ,59 ,1
18 ,68 ,65 ,26 ,60 ,72 ,35 ,25 ,22 ,66 ,1
9 ,56 ,74 ,0 ,64 ,18 ,42 ,9 ,32 ,17 ,1
26 ,58 ,76 ,37 ,54 ,59 ,22 ,10 ,44 ,6 ,1
42 ,72 ,75 ,36 ,64 ,78 ,27 ,45 ,64 ,75 ,1
32 ,78 ,51 ,32 ,16 ,6 ,28 ,15 ,45 ,49 ,1
48 ,69 ,73 ,4 ,91 ,80 ,15 ,75 ,77 ,65 ,1
35 ,64 ,66 ,2 ,88 ,73 ,9 ,31 ,28 ,44 ,1
6 ,66 ,100 ,38 ,3 ,54 ,25 ,85 ,87 ,69 ,1
43 ,98 ,67 ,48 ,48 ,16 ,27 ,67 ,6 ,63 ,1
27 ,68 ,62 ,31 ,71 ,34 ,45 ,69 ,54 ,46 ,1
44 ,60 ,71 ,35 ,57 ,80 ,46 ,24 ,41 ,57 ,1
23 ,99 ,55 ,20 ,49 ,88 ,13 ,7 ,15 ,40 ,1
0 ,53 ,90 ,20 ,69 ,59 ,43 ,89 ,78 ,72 ,1
15 ,100 ,98 ,39 ,72 ,69 ,29 ,16 ,2 ,5 ,1
37 ,74 ,86 ,15 ,27 ,89 ,34 ,13 ,65 ,76 ,1
16 ,93 ,85 ,40 ,20 ,63 ,7 ,84 ,89 ,84 ,1
29 ,62 ,87 ,21 ,16 ,29 ,41 ,63 ,75 ,65 ,1
21 ,51 ,76 ,40 ,65 ,1 ,23 ,69 ,95 ,13 ,1
46 ,99 ,84 ,0 ,53 ,83 ,19 ,42 ,98 ,3 ,1
0 ,75 ,57 ,32 ,97 ,44 ,36 ,76 ,33 ,56 ,1
34 ,70 ,80 ,33 ,48 ,52 ,14 ,24 ,85 ,98 ,1
4 ,90 ,79 ,49 ,98 ,0 ,20 ,44 ,80 ,68 ,1
22 ,90 ,93 ,49 ,95 ,30 ,23 ,85 ,31 ,8 ,1
38 ,69 ,62 ,41 ,83 ,64 ,40 ,92 ,76 ,59 ,1
35 ,74 ,53 ,32 ,96 ,90 ,8 ,54 ,83 ,32 ,1
4 ,75 ,54 ,37 ,75 ,47 ,38 ,34 ,63 ,21 ,1
22 ,97 ,63 ,42 ,0 ,82 ,47 ,58 ,97 ,88 ,1
24 ,52 ,87 ,7 ,30 ,58 ,12 ,29 ,78 ,85 ,1
45 ,79 ,97 ,0 ,53 ,25 ,0 ,13 ,46 ,64 ,1
3 ,77 ,78 ,11 ,28 ,70 ,36 ,12 ,40 ,30 ,1
41 ,60 ,78 ,20 ,72 ,76 ,35 ,58 ,54 ,72 ,1
24 ,84 ,95 ,13 ,55 ,52 ,5 ,77 ,91 ,93 ,1
47 ,69 ,54 ,27 ,8 ,30 ,7 ,27 ,86 ,62 ,1
16 ,73 ,88 ,34 ,99 ,90 ,28 ,12 ,27 ,58 ,1
41 ,64 ,82 ,36 ,67 ,72 ,21 ,80 ,91 ,33 ,1
22 ,69 ,76 ,25 ,29 ,18 ,31 ,17 ,39 ,75 ,1
15 ,61 ,75 ,23 ,8 ,36 ,32 ,75 ,87 ,71 ,1
48 ,98 ,70 ,12 ,99 ,93 ,18 ,54 ,71 ,90 ,1
35 ,74 ,85 ,47 ,57 ,99 ,7 ,50 ,85 ,46 ,1
3 ,53 ,74 ,35 ,49 ,57 ,29 ,87 ,0 ,84 ,1
19 ,64 ,79 ,33 ,78 ,60 ,46 ,23 ,78 ,27 ,1
35 ,87 ,53 ,1 ,54 ,86 ,30 ,23 ,98 ,23 ,1
34 ,94 ,77 ,25 ,57 ,55 ,31 ,51 ,54 ,10 ,1
19 ,51 ,87 ,23 ,69 ,55 ,13 ,46 ,27 ,99 ,1
19 ,67 ,95 ,13 ,47 ,35 ,47 ,75 ,90 ,20 ,1
27 ,96 ,54 ,18 ,9 ,9 ,40 ,89 ,81 ,63 ,1
28 ,56 ,63 ,46 ,28 ,25 ,82 ,57 ,69 ,18 ,1
37 ,67 ,99 ,33 ,43 ,79 ,75 ,46 ,46 ,14 ,1
6 ,60 ,15 ,45 ,11 ,76 ,90 ,99 ,42 ,41 ,1
16 ,67 ,68 ,5 ,17 ,88 ,60 ,92 ,95 ,27 ,1
40 ,64 ,93 ,33 ,36 ,0 ,73 ,75 ,23 ,99 ,1
34 ,66 ,37 ,2 ,21 ,93 ,97 ,1 ,5 ,40 ,1
2 ,99 ,23 ,38 ,16 ,65 ,94 ,6 ,92 ,66 ,1
47 ,96 ,0 ,25 ,1 ,89 ,65 ,14 ,6 ,4 ,1
23 ,53 ,42 ,35 ,18 ,91 ,58 ,14 ,77 ,97 ,1
23 ,88 ,55 ,41 ,35 ,4 ,86 ,42 ,48 ,86 ,1
33 ,70 ,42 ,11 ,17 ,16 ,97 ,32 ,15 ,50 ,1
0 ,61 ,19 ,42 ,49 ,14 ,99 ,35 ,35 ,75 ,1
6 ,53 ,34 ,6 ,22 ,98 ,82 ,50 ,74 ,77 ,1
2 ,55 ,73 ,15 ,12 ,67 ,63 ,7 ,35 ,34 ,1
7 ,78 ,63 ,24 ,47 ,29 ,87 ,28 ,98 ,59 ,1
47 ,82 ,69 ,13 ,2 ,48 ,72 ,9 ,88 ,24 ,1
27 ,91 ,70 ,22 ,24 ,9 ,81 ,95 ,4 ,27 ,1
22 ,75 ,47 ,6 ,33 ,39 ,58 ,46 ,75 ,74 ,1
28 ,58 ,44 ,1 ,23 ,74 ,81 ,5 ,27 ,75 ,1
19 ,56 ,44 ,18 ,17 ,36 ,86 ,100 ,57 ,19 ,1
46 ,91 ,23 ,45 ,2 ,54 ,67 ,49 ,90 ,74 ,1
31 ,59 ,20 ,18 ,37 ,30 ,53 ,21 ,63 ,90 ,1
21 ,56 ,42 ,25 ,44 ,62 ,56 ,19 ,44 ,68 ,1
9 ,53 ,62 ,6 ,42 ,27 ,84 ,41 ,4 ,35 ,1
44 ,95 ,90 ,22 ,49 ,93 ,98 ,19 ,5 ,20 ,1
9 ,80 ,25 ,48 ,8 ,95 ,55 ,85 ,13 ,1 ,1
1 ,51 ,67 ,17 ,38 ,9 ,63 ,59 ,75 ,92 ,1
17 ,54 ,9 ,49 ,8 ,80 ,62 ,1 ,49 ,72 ,1
41 ,62 ,86 ,31 ,39 ,26 ,78 ,17 ,95 ,44 ,1
30 ,72 ,33 ,23 ,11 ,92 ,85 ,68 ,35 ,2 ,1
26 ,71 ,1 ,3 ,3 ,64 ,80 ,36 ,26 ,36 ,1
44 ,52 ,52 ,23 ,31 ,34 ,60 ,52 ,73 ,84 ,1
19 ,65 ,77 ,24 ,42 ,83 ,91 ,63 ,6 ,84 ,1
34 ,92 ,94 ,7 ,44 ,87 ,70 ,42 ,59 ,71 ,1
36 ,99 ,64 ,38 ,7 ,32 ,88 ,40 ,1 ,76 ,1
30 ,91 ,89 ,39 ,11 ,63 ,84 ,5 ,74 ,19 ,1
30 ,55 ,51 ,18 ,10 ,61 ,59 ,12 ,18 ,64 ,1
0 ,81 ,59 ,44 ,10 ,29 ,51 ,92 ,24 ,11 ,1
43 ,61 ,25 ,18 ,10 ,43 ,81 ,22 ,95 ,91 ,1
17 ,84 ,95 ,8 ,16 ,89 ,84 ,10 ,72 ,28 ,1
31 ,88 ,93 ,22 ,44 ,94 ,64 ,66 ,74 ,75 ,1
31 ,75 ,25 ,39 ,12 ,77 ,100 ,29 ,43 ,57 ,1
4 ,60 ,8 ,15 ,48 ,93 ,90 ,13 ,3 ,24 ,1
34 ,100 ,53 ,1 ,11 ,68 ,91 ,39 ,88 ,9 ,1
15 ,58 ,85 ,0 ,28 ,49 ,99 ,13 ,63 ,4 ,1
12 ,87 ,23 ,13 ,23 ,83 ,95 ,77 ,92 ,25 ,1
35 ,59 ,45 ,26 ,26 ,49 ,98 ,62 ,78 ,69 ,1
3 ,57 ,94 ,18 ,5 ,76 ,54 ,97 ,93 ,20 ,1
13 ,82 ,97 ,28 ,21 ,42 ,74 ,12 ,89 ,22 ,1
35 ,76 ,26 ,36 ,43 ,59 ,96 ,42 ,80 ,0 ,1
26 ,78 ,6 ,46 ,35 ,30 ,82 ,3 ,1 ,81 ,1
34 ,88 ,72 ,9 ,9 ,79 ,90 ,41 ,55 ,79 ,1
26 ,81 ,57 ,31 ,5 ,36 ,100 ,79 ,72 ,44 ,1
12 ,52 ,10 ,17 ,10 ,66 ,97 ,13 ,100 ,87 ,1
27 ,85 ,52 ,35 ,26 ,24 ,86 ,29 ,37 ,93 ,1
4 ,82 ,91 ,6 ,10 ,4 ,63 ,86 ,49 ,93 ,1
45 ,98 ,98 ,48 ,23 ,27 ,63 ,59 ,21 ,49 ,1
2 ,90 ,94 ,43 ,32 ,90 ,53 ,49 ,84 ,58 ,1
7 ,80 ,31 ,37 ,29 ,53 ,83 ,62 ,54 ,5 ,1
46 ,92 ,33 ,20 ,46 ,3 ,60 ,22 ,56 ,52 ,1
37 ,65 ,100 ,34 ,27 ,27 ,69 ,100 ,44 ,17 ,1
49 ,61 ,16 ,29 ,37 ,27 ,73 ,10 ,4 ,98 ,1
47 ,71 ,5 ,11 ,14 ,81 ,71 ,34 ,29 ,85 ,1
26 ,81 ,67 ,42 ,22 ,35 ,85 ,22 ,39 ,88 ,1
48 ,78 ,40 ,40 ,2 ,55 ,75 ,15 ,23 ,0 ,1
45 ,73 ,48 ,27 ,41 ,28 ,86 ,76 ,6 ,70 ,1
3 ,87 ,92 ,28 ,11 ,2 ,63 ,76 ,28 ,2 ,1
28 ,60 ,24 ,33 ,43 ,83 ,62 ,89 ,40 ,39 ,1
21 ,71 ,79 ,2 ,1 ,41 ,52 ,91 ,41 ,5 ,1
21 ,55 ,88 ,21 ,18 ,36 ,89 ,12 ,91 ,17 ,1
26 ,57 ,28 ,43 ,47 ,83 ,60 ,35 ,69 ,62 ,1
44 ,62 ,78 ,22 ,35 ,91 ,92 ,95 ,36 ,11 ,1
37 ,75 ,53 ,10 ,0 ,84 ,76 ,73 ,7 ,80 ,1
34 ,72 ,79 ,29 ,15 ,81 ,85 ,27 ,5 ,90 ,1
42 ,94 ,12 ,43 ,24 ,2 ,99 ,62 ,29 ,7 ,1
49 ,93 ,18 ,9 ,17 ,82 ,75 ,31 ,55 ,80 ,1
46 ,75 ,8 ,15 ,32 ,27 ,92 ,86 ,0 ,78 ,1
42 ,94 ,62 ,41 ,49 ,98 ,81 ,28 ,34 ,100 ,1
37 ,82 ,2 ,14 ,7 ,76 ,76 ,5 ,83 ,59 ,1
45 ,60 ,61 ,30 ,35 ,91 ,76 ,74 ,19 ,72 ,1
11 ,61 ,6 ,5 ,6 ,59 ,82 ,41 ,97 ,96 ,1
43 ,77 ,7 ,19 ,7 ,17 ,74 ,79 ,81 ,5 ,1
46 ,76 ,14 ,13 ,25 ,55 ,98 ,47 ,41 ,73 ,1
14 ,80 ,100 ,20 ,18 ,79 ,71 ,82 ,29 ,25 ,1
22 ,55 ,90 ,14 ,36 ,89 ,71 ,28 ,14 ,54 ,1
31 ,69 ,57 ,27 ,41 ,61 ,66 ,56 ,25 ,96 ,1
34 ,95 ,81 ,44 ,14 ,23 ,79 ,13 ,77 ,81 ,1
9 ,73 ,84 ,25 ,43 ,44 ,65 ,46 ,12 ,4 ,1
11 ,95 ,79 ,9 ,43 ,42 ,100 ,32 ,26 ,23 ,1
26 ,92 ,65 ,3 ,9 ,96 ,78 ,80 ,76 ,36 ,1
35 ,53 ,84 ,48 ,45 ,94 ,63 ,24 ,55 ,56 ,1
1 ,52 ,30 ,37 ,44 ,54 ,74 ,29 ,68 ,3 ,1
45 ,90 ,42 ,31 ,9 ,67 ,77 ,82 ,92 ,56 ,1
5 ,76 ,1 ,47 ,0 ,4 ,97 ,74 ,18 ,99 ,1
5 ,58 ,49 ,35 ,18 ,55 ,81 ,4 ,78 ,8 ,1
20 ,70 ,85 ,49 ,8 ,70 ,67 ,4 ,25 ,13 ,1
28 ,94 ,28 ,3 ,38 ,50 ,94 ,89 ,3 ,53 ,1
15 ,89 ,98 ,33 ,32 ,82 ,86 ,82 ,3 ,18 ,1
35 ,52 ,34 ,32 ,4 ,12 ,93 ,50 ,16 ,86 ,1
11 ,62 ,44 ,3 ,47 ,35 ,72 ,54 ,55 ,90 ,1
8 ,97 ,48 ,42 ,17 ,58 ,59 ,32 ,78 ,31 ,1
23 ,82 ,58 ,25 ,11 ,8 ,88 ,11 ,54 ,59 ,1
10 ,62 ,25 ,22 ,40 ,51 ,54 ,37 ,59 ,22 ,1
16 ,96 ,34 ,36 ,28 ,31 ,84 ,90 ,42 ,8 ,1
41 ,86 ,14 ,8 ,28 ,68 ,93 ,44 ,29 ,49 ,1
17 ,59 ,63 ,28 ,10 ,59 ,65 ,33 ,52 ,18 ,1
11 ,79 ,33 ,46 ,25 ,82 ,81 ,14 ,80 ,33 ,1
30 ,98 ,7 ,19 ,10 ,65 ,80 ,71 ,75 ,36 ,1
30 ,56 ,43 ,16 ,23 ,54 ,56 ,96 ,1 ,92 ,1
36 ,72 ,44 ,22 ,24 ,88 ,76 ,46 ,74 ,61 ,1
8 ,64 ,56 ,49 ,23 ,32 ,76 ,44 ,42 ,42 ,1
33 ,82 ,19 ,24 ,4 ,99 ,62 ,89 ,48 ,19 ,1
9 ,73 ,4 ,32 ,3 ,9 ,66 ,37 ,2 ,1 ,1
12 ,60 ,78 ,48 ,19 ,62 ,52 ,95 ,29 ,100 ,1
27 ,56 ,42 ,36 ,9 ,70 ,84 ,79 ,41 ,34 ,1
46 ,97 ,99 ,37 ,47 ,87 ,63 ,77 ,48 ,42 ,1
15 ,98 ,82 ,42 ,47 ,98 ,54 ,83 ,87 ,92 ,1
15 ,60 ,54 ,4 ,12 ,50 ,66 ,30 ,95 ,35 ,1
27 ,93 ,91 ,31 ,49 ,49 ,89 ,33 ,54 ,7 ,1
13 ,97 ,37 ,18 ,31 ,27 ,65 ,58 ,68 ,75 ,1
30 ,99 ,67 ,8 ,26 ,10 ,61 ,56 ,53 ,38 ,1
22 ,57 ,85 ,44 ,49 ,31 ,54 ,4 ,46 ,66 ,1
49 ,59 ,3 ,25 ,22 ,27 ,84 ,37 ,93 ,57 ,1
6 ,70 ,69 ,35 ,26 ,74 ,54 ,82 ,44 ,38 ,1
9 ,99 ,23 ,24 ,28 ,75 ,70 ,32 ,2 ,3 ,1
44 ,64 ,65 ,3 ,15 ,13 ,75 ,71 ,14 ,9 ,1
3 ,70 ,70 ,26 ,1 ,56 ,66 ,11 ,84 ,3 ,1
45 ,75 ,8 ,25 ,27 ,45 ,82 ,77 ,58 ,45 ,1
4 ,93 ,66 ,49 ,17 ,48 ,80 ,74 ,74 ,68 ,1
47 ,91 ,72 ,11 ,35 ,69 ,56 ,0 ,92 ,24 ,1
6 ,54 ,39 ,29 ,14 ,55 ,67 ,38 ,58 ,54 ,1
24 ,51 ,67 ,26 ,30 ,39 ,90 ,11 ,96 ,73 ,1
5 ,90 ,42 ,39 ,39 ,17 ,60 ,62 ,15 ,45 ,1
7 ,93 ,44 ,20 ,37 ,17 ,94 ,48 ,44 ,56 ,1
25 ,80 ,65 ,37 ,3 ,84 ,74 ,86 ,54 ,87 ,1
8 ,74 ,41 ,45 ,4 ,92 ,53 ,65 ,69 ,91 ,1
3 ,58 ,3 ,1 ,40 ,52 ,61 ,24 ,67 ,31 ,1
38 ,87 ,26 ,12 ,31 ,96 ,83 ,3 ,31 ,17 ,1
6 ,51 ,88 ,46 ,24 ,72 ,74 ,46 ,24 ,85 ,1
2 ,62 ,45 ,33 ,7 ,90 ,92 ,7 ,39 ,61 ,1
36 ,88 ,56 ,49 ,42 ,50 ,70 ,0 ,15 ,100 ,1
1 ,77 ,71 ,40 ,29 ,86 ,99 ,5 ,59 ,54 ,1
1 ,99 ,64 ,27 ,45 ,77 ,60 ,84 ,57 ,15 ,1
39 ,75 ,74 ,27 ,36 ,24 ,54 ,40 ,44 ,29 ,1
36 ,59 ,40 ,20 ,34 ,82 ,95 ,64 ,75 ,69 ,1
39 ,100 ,96 ,20 ,31 ,26 ,73 ,94 ,77 ,5 ,1
8 ,73 ,8 ,9 ,30 ,74 ,94 ,18 ,95 ,76 ,1
11 ,61 ,82 ,42 ,2 ,79 ,52 ,24 ,14 ,25 ,1
37 ,69 ,20 ,2 ,23 ,2 ,75 ,56 ,96 ,51 ,1
9 ,68 ,41 ,43 ,0 ,85 ,89 ,94 ,74 ,51 ,1
31 ,51 ,67 ,4 ,1 ,1 ,59 ,11 ,7 ,10 ,1
36 ,79 ,40 ,21 ,37 ,89 ,64 ,12 ,84 ,14 ,1
23 ,53 ,39 ,17 ,11 ,87 ,75 ,36 ,46 ,79 ,1
25 ,88 ,12 ,7 ,2 ,11 ,65 ,61 ,87 ,34 ,1
40 ,94 ,24 ,22 ,13 ,74 ,91 ,88 ,90 ,9 ,1
4 ,84 ,71 ,6 ,26 ,30 ,62 ,60 ,93 ,89 ,1
32 ,81 ,72 ,43 ,19 ,34 ,72 ,69 ,36 ,35 ,1
35 ,97 ,91 ,6 ,9 ,44 ,92 ,62 ,28 ,11 ,1
31 ,71 ,100 ,49 ,34 ,18 ,78 ,58 ,83 ,9 ,1
41 ,61 ,41 ,3 ,42 ,89 ,96 ,32 ,96 ,5 ,1
44 ,92 ,2 ,40 ,29 ,11 ,92 ,25 ,3 ,89 ,1
5 ,71 ,29 ,49 ,22 ,79 ,52 ,15 ,87 ,39 ,1
20 ,96 ,23 ,14 ,42 ,4 ,53 ,90 ,79 ,37 ,1
1 ,87 ,64 ,42 ,44 ,18 ,86 ,32 ,13 ,61 ,1
13 ,92 ,55 ,31 ,44 ,78 ,96 ,90 ,75 ,57 ,1
41 ,77 ,22 ,11 ,11 ,58 ,76 ,96 ,11 ,78 ,1
14 ,83 ,85 ,24 ,12 ,41 ,74 ,54 ,47 ,36 ,1
33 ,92 ,82 ,5 ,5 ,96 ,74 ,50 ,15 ,51 ,1
15 ,56 ,32 ,15 ,47 ,85 ,93 ,80 ,4 ,96 ,1
