产品ID,型号,品牌,颜色数,上市时间,市场定位,芯片平台,芯片主频,AP,频段数量,零售价格,外观类型,厚度,产品重量,屏幕数量,屏幕尺寸,分辩率,触摸屏,键盘类型,RAM,ROM,Flash内存,摄像头,定位,FM广播,电视,Modem,红外,蓝牙,WLAN,电池容量,重力感应器,方向感应器,文字输入方法数,智能系统
167,ZTE C332,中兴,1,2007,0,0,96,0,1,298,0,13,80,1,1.8,20480,0,1,24,24,0,130,0,0,0,0,0,0,0,750,0,0,1,0
168,ZTE C330,中兴,1,2007,0,0,96,0,1,298,0,13,94,1,1.7,20480,0,1,16,8,1,0,0,0,0,0,0,0,0,800,0,0,1,0
169,MG619,万利达,1,2009,2,0,96,0,3,1290,0,11.6,105,1,2.8,76800,1,0,128,256,130,200,0,1,0,0,0,1,0,1030,0,0,2,0
170,ZTE-C C366,中兴,1,2010,0,0,96,0,1,458,0,17.2,110,1,2.2,38720,1,1,64,128,43,30,1,1,0,1,0,1,0,1500,0,0,3,0
171,C816,大显,1,2003,2,0,40,0,1,2980,1,21.7,110,1,2.4,76800,1,1,128,128,30,130,1,1,0,1,0,1,0,1050,1,0,3,0
172,KHC-998,深圳同威,1,2008,0,1,56,0,3,780,0,16,117.8,1,2.8,76800,1,0,128,256,0.1,320,1,1,0,1,0,1,0,1250,0,0,2,1
173,F639,三星,1,2008,2,0,147,0,1,1980,2,10.9,97.8,2,2,38720,0,1,64,128,20,130,0,0,0,1,0,0,0,1000,0,0,1,0
174,精致 C300,大显,1,2006,0,0,40,0,1,850,2,20,109.5,1,2.4,76800,1,0,64,128,5,200,1,1,0,1,0,1,0,1200,1,0,3,0
175,酷派7360,宇龙,1,2008,1,0,96,0,3,2880,0,18.2,146,1,4,384000,2,0,512,4000,1000,500,1,0,0,1,0,1,1,2000,1,1,2,1
176,OT-I650C,TCL移动,1,2009,0,0,96,0,1,880,0,16.6,85,1,1.8,20480,0,1,32,128,2,30,0,0,0,0,0,0,0,1000,0,0,1,0
177,N98,大显,1,2009,2,0,96,0,3,1399,0,15,110,1,2.4,76800,1,0,16,4,1.53,130,0,0,0,1,0,0,0,850,0,0,2,0
178,CZ-i920,振华,2,2010,3,0,600,1,3,3888,0,13.75,110,1,2.4,76800,1,1,64,128,15,30,1,0,0,1,0,0,0,2000,0,0,3,0
179,S259+,三星,1,2008,0,0,96,0,1,898,0,9.9,95,1,2.4,76800,0,1,64,128,2,0,0,0,0,0,0,0,0,1500,0,0,1,0
180,NT118,新语,1,2010,0,0,96,0,1,480,0,14.3,238,1,1.5,20480,0,1,8,4,0.87,0,0,0,0,1,0,0,0,1600,0,0,1,0
181,E160C,联想,1,2010,0,0,96,0,1,298,0,15.3,127,1,2.8,76800,1,0,128,256,30,320,1,1,0,1,0,1,0,1200,0,0,2,0
182,TC112+,深圳世纪天元,1,2010,0,0,96,0,1,398,0,14.5,129,1,2.8,76800,1,1,8,32,0,200,0,0,0,0,0,1,0,1300,0,0,3,0
183,TC109,深圳世纪天元,1,2010,0,0,96,0,1,880,2,14.5,96.7,1,2.4,76800,1,1,128,32,987,30,0,1,0,0,0,1,0,1100,0,0,3,0
184,CF200,深圳广信,3,2010,0,1,56,0,1,239,0,15,82.5,1,2.4,76800,1,0,64,128,0,30,0,0,0,0,0,0,0,1200,0,0,2,0
185,TC116,深圳世纪天元,4,2010,0,0,96,0,1,213,0,14.5,75,1,2.2,38720,0,1,4,16,0.12,0,0,0,0,0,0,0,0,1150,0,0,1,0
186,TE31,深圳世纪天元,1,2010,1,0,192,0,1,508,0,10.25,144,1,3.2,153600,1,0,256,512,0,500,1,0,0,1,0,1,1,1300,1,0,2,1
187,NT8366,新语,1,2010,0,0,96,0,1,658,0,15.7,71,1,1.44,16384,0,1,32,64,0,0,0,1,0,0,0,0,0,1000,0,0,1,0
188,P690e,联想,1,2010,1,0,192,0,3,1499,0,14.1,90,1,1.77,20480,0,1,128,64,130,0,0,0,0,1,0,0,0,1000,0,0,1,0
189,E366,天宇朗通,1,2010,1,0,192,0,3,1380,0,14,86,1,1.8,38720,0,1,2,4,0.36,130,0,1,0,0,0,0,0,1000,0,0,1,0
190,HEG-S600,和信,1,2010,1,0,192,0,3,1798,0,15,65.5,1,1.5,16384,0,1,4,8,0,0,0,0,0,0,0,0,0,1000,0,0,1,0
191,HS-C807,海信,1,2006,3,0,147,0,1,3100,1,24.5,130,1,2.5,76800,1,0,128,256,100,200,1,0,0,1,0,1,1,1300,0,0,3,1
192,ZTE-C S300,中兴,1,2010,0,0,96,0,1,600,0,12,85,1,2.4,76800,0,1,64,128,4,30,1,1,0,1,0,0,0,850,0,0,1,0
193,HS-C117,海信,1,2006,0,0,96,0,1,360,0,12.8,110,1,3.2,153600,1,0,256,512,128,500,1,1,0,1,0,1,0,1200,0,0,2,1
194,HS-C127,海信,1,2007,0,0,96,0,1,400,0,13.3,83,1,2.6,76800,1,0,32,128,500,130,0,1,0,0,0,1,0,1350,1,1,3,0
195,HS-D806,海信,1,2006,2,0,40,0,3,2980,0,16.2,74,1,2,38720,0,1,8,32,2,30,0,1,0,1,0,0,0,1000,0,0,1,0
196,HS-D858,海信,1,2006,2,0,40,0,3,2980,0,16.2,132.2,1,4.52,384000,2,2,512,1024,8192,800,1,1,0,1,0,1,1,1650,1,1,3,1
197,F289,三星,1,2005,0,0,40,0,1,900,1,21.4,120,1,2.8,76800,1,0,256,256,128,200,1,1,0,1,0,1,0,1100,0,0,3,0
198,F329,三星,1,2006,1,0,147,0,1,1200,1,24.2,110,1,2.8,76800,1,0,16,32,5,0,0,0,0,1,0,1,0,1050,0,0,2,0
199,F359,三星,1,2006,0,0,40,0,1,900,2,21.2,93,1,2.4,76800,1,1,128,256,170,200,1,0,0,1,0,0,0,1000,0,0,3,0
200,F519,三星,1,2006,0,0,147,0,1,900,2,16.2,120,1,2.4,76800,0,1,64,128,20,130,0,0,0,1,0,0,0,1900,0,0,1,0
201,ZTE-C F500,中兴,1,2010,1,0,192,0,1,1198,2,13.6,95,2,2.2,38720,0,1,8,16,3,130,0,0,0,0,0,0,0,800,0,0,1,0
202,P900E,齐乐,1,2010,3,0,192,0,3,568,0,13.9,65,1,1.77,20480,0,1,4,4,0,0,0,0,0,1,0,0,0,900,0,0,1,0
203,i58,齐乐,1,2010,1,0,600,1,3,1280,0,13.96,108,1,2.4,76800,1,2,64,128,192,30,0,0,0,0,0,0,0,1000,0,0,3,0
204,S159,三星,1,2006,0,0,40,0,1,900,1,19.9,117,1,2.4,76800,0,1,128,256,128,320,1,0,0,0,0,1,0,900,0,0,1,0
205,W399,三星,1,2006,1,0,147,0,3,1200,1,22,105,1,2.4,76800,1,1,128,256,32,200,1,1,0,1,0,1,0,1350,0,0,3,0
206,X969,三星,1,2005,0,0,147,0,1,400,0,18.7,81.4,1,1.4,14400,0,1,4,4,0.1,0,0,0,0,0,0,0,0,900,0,0,1,0
207,X979,三星,1,2006,0,0,147,0,1,900,1,20,120,1,2.8,76800,1,0,128,256,20,200,0,1,0,0,0,1,0,1150,0,0,2,1
208,C218,华为,1,2005,0,0,96,0,1,398,0,14.5,115,1,2.8,76800,1,0,64,128,33,30,0,0,0,1,0,0,0,1200,0,0,2,0
209,C2201,华为,1,2005,0,0,96,0,1,398,0,14.5,103,1,2.4,76800,0,1,64,128,35,30,0,0,0,1,0,0,0,880,0,0,1,0
210,vivie I101c,多普达,1,2007,0,1,56,0,1,200,0,12.5,89,1,2,20480,0,1,128,64,1.5,0,0,0,0,0,0,0,0,800,0,0,1,0
211,N3600,华录,3,2010,2,0,192,1,3,1280,0,13.5,95,1,2.6,76800,1,1,32,64,59,30,0,1,0,0,0,0,0,950,0,0,3,0
212,510C,世纪星宇,3,2010,0,0,96,1,1,468,0,12.8,130,1,2.8,76800,1,0,128,256,140,200,1,0,0,1,0,1,0,1100,0,0,3,0
213,C610,世纪星宇,1,2010,0,0,96,0,3,699,0,16.3,104,1,1.5,14400,0,1,32,64,1,0,0,0,0,0,0,0,0,950,0,0,1,0
214,UNC-M812,深圳友利通,1,2009,1,0,192,1,1,1180,0,12.5,100,1,2.4,76800,0,1,64,128,0,30,0,0,0,1,0,1,0,1450,0,0,1,0
215,DONXON E153,东森移动,2,2010,1,0,192,1,3,1680,0,16,92,1,2,38720,0,1,16,8,0,30,0,1,0,1,0,0,0,940,0,0,1,0
216,HS-EG617,海信,1,2010,2,0,192,1,3,1058,0,13.2,124,1,2.8,76800,1,0,128,256,140,200,1,0,0,1,0,1,0,1250,0,0,2,1
217,SXT 109,东森移动,2,2010,1,0,192,1,3,1499,0,13.5,142,1,3.8,384000,2,0,256,512,183,500,1,1,0,1,0,1,1,1350,1,0,2,1
218,YFZ-E63V,易丰展业,2,2010,1,0,192,0,1,561,0,10.8,145,1,2.4,76800,1,1,32,64,2,130,0,0,0,1,0,1,0,1750,0,0,3,0
219,KV220,LG,1,2010,1,0,192,0,1,564,0,12.5,73.8,1,1.75,19200,0,1,16,8,4.1,30,0,1,0,0,0,0,0,1000,0,0,1,0
220,TY708,美菱,2,2010,0,1,56,1,3,240,0,13.8,88,1,2.4,76800,0,1,8,32,1.8,30,0,1,0,1,0,0,0,1000,0,0,1,0
221,LY-A107,广东凌鹰,3,2010,1,0,192,1,3,2980,0,13.9,125,1,3.5,153600,2,0,256,512,512,300,1,1,0,1,0,1,1,1250,1,0,3,1
222,BlackBerry 9530,黑莓,1,2010,3,0,528,0,5,5149,0,13.9,92,1,1.77,20480,0,1,4,16,3.7,0,0,0,0,0,0,0,0,1800,0,0,1,0
223,FLY-C92,展翼,3,2010,0,0,96,0,1,426,0,16.3,92,1,2.4,76800,1,1,64,128,2.47,130,0,0,0,0,0,0,0,1800,0,0,3,0
224,HT8008,屹东电子,2,2010,1,0,192,0,3,1230,0,14.8,122,1,2.8,76800,1,1,32,64,0,200,0,1,0,1,0,1,0,1300,0,0,3,0
225,GXQ C2401,高新奇,4,2009,2,0,96,0,3,683,0,15.8,105,1,2.2,38720,0,1,64,128,2,130,0,1,0,0,0,0,0,1200,0,1,1,0
226,KS618C,深圳科盛,3,2010,0,1,56,1,3,658,2,17.5,90,1,1.77,19200,0,1,8,32,0,30,0,1,0,0,0,1,0,1200,0,0,1,0
227,HS-EG968,海信,2,2010,3,0,528,1,3,2016,0,14.5,110,1,2.4,38720,1,1,128,32,1.4,30,0,1,0,0,0,1,0,1100,0,0,3,0
228,H-V66E,海尔,3,2010,1,0,192,1,1,607,0,10.8,170,1,2.2,76800,0,1,128,64,64,30,0,1,0,0,0,0,0,4000,0,0,1,0
229,HT8001,屹东电子,2,2010,0,0,96,1,3,510,0,14.5,77,1,2,76800,0,1,64,128,20,130,0,0,0,1,0,0,0,800,0,0,1,0
230,酷派D550,宇龙,2,2010,3,0,192,1,3,1980,1,20,65,1,2.2,38720,0,1,4,8,16,0,0,0,0,0,0,0,0,1000,0,0,1,0
231,HCG-S300,和信,1,2010,2,0,96,0,3,549,1,21,220,1,2,76800,0,1,64,128,128,200,0,0,0,1,0,1,0,750,0,0,1,0
232,OKWAP  C670,英华达,1,2010,1,0,192,1,3,684,0,15.3,120,1,2,38720,0,1,64,128,128,200,1,0,0,1,0,0,0,1500,0,0,1,0
233,568,湖南大成,3,2010,0,0,96,1,1,190,0,12.3,75,1,1.8,38720,0,1,32,128,0,0,0,0,0,0,0,0,0,1000,0,0,1,0
234,558,湖南大成,2,2010,0,0,96,1,1,450,0,14.5,90,1,2.4,76800,0,1,128,256,0,30,1,1,0,1,0,1,0,1000,0,0,1,0
235,HC-C310,海尔,2,2010,0,0,96,1,1,799,0,13.4,125,1,2.4,76800,1,1,10,40,6,200,0,1,0,0,0,1,0,2000,0,0,3,0
236,EF818,深圳广信,3,2010,1,0,192,0,3,650,0,15.5,103,1,2.4,76800,0,1,256,1024,150,200,0,1,0,1,0,1,0,1080,0,0,1,0
237,SCH-S559,三星,1,2010,1,0,192,1,1,935,1,17.1,70,1,1.5,14400,0,1,64,16,1,0,0,0,0,0,0,0,0,800,0,0,1,0
238,KX197,LG,1,2010,0,0,96,0,1,206,0,14.2,85,1,1.65,12288,0,1,32,64,0,0,0,1,0,0,0,0,0,1000,0,0,1,0
239,SCH-W609,三星,3,2010,3,0,192,1,3,2024,0,13.95,110,1,1.8,20480,0,1,128,64,128,130,0,0,0,0,0,0,0,1500,0,0,1,0
240,E76,易丰展业,1,2010,1,1,56,0,3,528,0,12.5,105,1,2.4,76800,0,1,128,256,60,130,0,0,0,1,0,0,0,1320,0,0,1,0
241,酷派E270,宇龙,2,2010,1,0,192,1,1,708,2,13,180,1,3,96000,1,1,32,128,128,30,0,1,0,0,0,1,0,1200,0,0,3,0
242,酷派E506,宇龙,1,2010,1,0,192,0,3,960,0,14,130,1,2.4,76800,1,0,64,128,352,30,0,1,0,1,0,0,0,1400,0,0,3,0
243,HS-EG657,海信,1,2010,3,0,192,1,3,1500,0,14,122,1,2.8,76800,1,0,256,512,40,30,0,0,0,1,0,0,0,1030,0,0,3,1
244,HS-C278,海信,1,2010,0,0,96,1,1,450,0,11.95,98,1,2.4,76800,0,2,32,128,10,0,0,0,0,1,0,0,0,1000,0,0,1,0
245,Bird C788E,波导,1,2010,1,0,96,0,1,998,0,15.1,118,1,2.2,76800,0,1,128,128,26,200,1,1,0,1,0,1,0,860,0,0,1,0
246,VC380,百灵葳朗,4,2010,0,0,96,1,1,199,2,15,75,1,2,38720,0,1,128,256,80,130,0,0,0,1,0,1,0,900,0,0,1,0
247,E90,天宇朗通,2,2010,1,0,192,0,1,870,3,17,70,1,1.5,20480,0,1,2,4,2,0,0,1,0,0,0,0,0,800,0,0,1,0
248,C7266,华为,1,2010,1,0,192,0,1,999,0,14.2,101,1,1.8,19200,0,1,32,64,3,0,0,0,0,1,0,0,0,1000,0,0,1,0
249,ZTE-C R516,中兴,2,2010,1,0,192,0,1,394,0,13,139,1,3.5,153600,2,0,256,512,50,200,0,1,0,1,0,0,0,1300,1,1,2,1
250,XT806,摩托罗拉,2,2010,3,0,192,1,4,2680,1,18,113.4,1,3.5,153600,2,0,384,512,0,500,1,1,0,1,0,1,1,1350,1,1,2,1
251,CHIVA-C803,振华,3,2010,1,0,96,0,1,598,0,14.8,100,1,2.4,76800,0,1,128,32,3,30,0,1,0,0,0,0,0,1000,0,0,1,0
252,EX200,摩托罗拉,1,2010,1,0,192,1,3,1258,0,15.2,120,1,3.5,153600,2,0,512,512,512,500,1,0,0,1,0,1,1,1500,1,0,3,1
253,c508,众一,2,2009,2,0,96,1,1,508,0,17,100,1,2.4,76800,0,2,8,32,2,30,0,0,0,1,0,0,0,1450,0,0,1,0
254,CV120,广州金鹏,2,2010,0,0,192,0,1,680,0,14.5,115,1,2.4,76800,0,1,64,16,0,200,0,1,0,1,0,1,0,1300,0,0,2,0
255,TC121,深圳世纪天元,5,2010,2,0,96,0,1,458,0,14.88,130,1,2.8,76800,1,0,64,128,0,500,0,0,0,1,0,1,0,1100,0,0,2,1
256,ZTE-C X 998,中兴,2,2010,1,0,192,1,1,786,0,11.8,145,1,2.8,76800,2,0,128,256,128,200,1,1,0,1,0,1,1,1500,0,0,2,0
257,OKWAP i710,英华达,1,2010,2,0,192,1,1,553,0,12.1,109,1,3.2,96000,1,0,1024,2048,100,320,1,1,0,1,0,1,0,1000,1,0,2,0
258,DH-M60,迈峰,2,2010,3,0,192,1,1,4880,0,12.9,115,1,2.8,76800,1,0,64,128,6,200,1,0,0,0,0,1,1,1270,0,0,2,1
259,528,湖南大成,3,2010,0,0,96,1,3,498,0,14.8,100,1,2.8,76800,1,0,256,512,50,30,1,0,1,1,0,1,0,1000,0,0,2,1
260,U199,优思,1,2010,1,0,96,1,3,990,1,17.7,108,1,3,96000,1,0,128,64,1.2,130,0,1,0,0,0,1,0,2000,1,1,2,0
261,KV226,LG,1,2010,2,0,192,0,1,474,0,12.5,99,2,2.4,96000,0,2,32,128,12832,30,0,1,0,0,0,0,0,900,0,0,1,0
262,U106,优思,3,2010,1,0,192,1,1,563,1,10.2,100,1,2.4,76800,0,1,128,512,30,30,1,0,0,1,0,1,0,1800,0,0,1,0
263,XT800+,摩托罗拉,1,2010,4,0,1024,1,5,2580,0,11.6,80,1,1.8,20480,0,1,32,64,0,0,0,0,0,1,0,0,0,1000,0,0,1,0
264,VE283,百灵葳朗,2,2010,1,1,125,1,1,411,2,15.5,110,1,2.3,76800,0,2,8,16,3,130,0,1,0,0,0,1,0,1400,0,0,1,0
265,Leimone E66,天津通广,2,2010,3,0,192,1,3,1180,1,16.7,100,1,3.5,153600,1,0,128,256,256,500,1,0,0,1,0,1,1,1500,1,0,2,1
266,NLJ618,诺利佳,2,2010,0,1,56,1,1,520,0,14,92,1,2.4,76800,0,1,128,256,100,200,0,1,0,1,0,1,0,800,0,0,1,0
267,U700,优思,1,2010,1,0,96,1,3,850,1,21.5,86,1,3,96000,1,0,64,128,30,200,1,1,0,1,0,1,0,900,0,0,2,0
268,CB-EG218,深圳新中桥,1,2010,4,0,192,0,3,666,0,14.5,145,1,4,153600,2,0,256,512,80,200,0,0,0,1,0,0,1,1500,0,0,2,1
269,酷派N930,宇龙,1,2010,4,0,192,1,5,3980,0,11.8,150,1,4,153600,2,0,256,512,90,200,1,1,0,1,0,1,1,1600,1,0,2,1
270,ZTE-J G685,中兴,1,2010,0,0,192,1,1,2980,0,24,112,1,2.8,76800,1,0,128,64,70,130,1,1,0,1,0,1,0,1080,0,0,2,0
271,ZTE-C GA200,中兴,2,2010,1,0,192,0,1,618,0,17.4,89,1,2.6,76800,0,1,120,120,0,200,0,0,0,0,0,1,0,630,0,0,1,0
272,FDT c858,深圳锋达通,3,2010,3,0,96,1,3,998,1,17,140,1,2.4,76800,1,2,128,256,20,200,0,1,0,1,0,1,0,1100,0,0,3,0
273,CF02,英普,2,2011,3,0,192,1,3,2180,0,15.5,120,1,2.4,76800,0,1,64,256,2,30,0,1,0,1,0,0,0,1500,0,0,1,0
274,E70,易丰展业,3,2010,3,0,192,1,3,767,0,12.4,97,1,2.8,76800,1,0,64,128,240,30,0,1,0,0,0,0,0,1400,0,0,2,0
275,CIYO V2,世纪星宇,1,2010,4,0,192,1,1,599,1,15.1,75,1,1.5,16384,0,1,16,32,10,0,0,0,0,1,0,0,0,850,0,0,1,0
276,E50C,易丰展业,2,2010,0,0,96,1,1,299,0,15,95,1,2,38720,0,1,256,512,30,0,0,1,0,1,0,0,0,1200,0,0,1,0
277,CHERR E550,齐乐,2,2010,1,0,192,0,1,499,0,13.6,140,1,3.5,153600,2,2,256,512,0,500,1,0,0,1,0,1,1,1250,1,1,3,1
278,HEG-D10,和信,1,2010,3,0,192,0,3,998,0,15,110,1,2.4,76800,0,1,64,128,110,30,0,0,0,1,0,0,0,1050,0,0,1,0
279,EF828,深圳广信,4,2010,1,0,192,0,3,988,1,17.3,127,1,3.2,153600,1,0,256,256,32,320,1,0,0,1,0,1,1,1200,1,0,2,1
280,SCH-W899,三星,1,2010,4,0,192,1,5,8990,1,17.15,75,1,1.77,20480,0,1,32,64,64,0,0,1,0,0,0,0,0,750,0,0,1,0
281,C5710,华为,1,2010,2,0,192,0,1,399,0,9.9,110,1,2.4,128000,1,1,32,64,2,30,0,1,0,0,0,0,0,1450,0,0,3,0
282,ZTE-C X920,中兴,2,2011,2,0,600,1,1,844,0,14,85,1,2.4,76800,0,1,64,128,32.57,200,0,0,0,1,0,0,0,1000,0,0,1,0
283,UC500,友为,2,2011,0,0,96,1,3,940,0,14,100,1,2.8,76800,1,1,256,512,185,30,0,0,0,1,0,0,0,1150,1,1,3,1
284,TCL C218,TCL移动,3,2011,0,0,96,1,1,298,0,15.3,110,1,2.4,76800,1,1,64,128,128,30,0,1,0,0,0,0,0,1500,0,0,3,0
285,TCL C802,TCL移动,2,2011,1,0,192,1,1,1099,0,13.9,120,1,2.4,76800,0,1,64,128,7,130,1,1,0,0,0,0,0,1500,0,0,1,0
286,E5700,华录,1,2011,0,0,192,0,1,368,0,12,95,1,2.4,76800,0,2,64,128,59,30,0,1,0,0,0,1,0,1000,0,0,1,0
287,UC900,友为,2,2011,0,0,96,1,3,990,2,15,100,1,2,20480,0,1,64,32,0.5,0,0,0,0,0,0,0,0,1300,0,0,1,0
288,Coolpad E239,宇龙,1,2011,2,1,125,1,1,906,0,13.4,115,1,3.5,153600,2,0,256,512,150,200,1,1,0,1,0,1,1,1150,1,1,3,1
289,EPHONE E81V,易丰展业,2,2011,1,0,192,1,1,636,1,12.2,123,1,4,384000,2,0,512,512,16384,500,1,1,0,1,0,1,1,1500,1,0,2,1
290,HUAWEI C5070,华为,2,2011,2,0,192,0,1,299,0,12.9,125,2,2.6,76800,1,1,512,256,2,30,0,0,0,0,0,1,0,1000,0,0,3,0
291,HEG-D30,和信,2,2011,1,0,192,1,3,669,0,14,95,1,2.4,76800,0,1,64,128,22,30,0,0,0,1,0,0,0,1000,0,0,1,0
292,E718,湖南大成,3,2011,2,0,192,1,3,743,0,13.4,140,1,3,96000,1,1,128,64,36,30,0,1,0,0,0,0,0,1400,0,0,3,0
293,BenWee E6,本为,4,2011,2,0,192,1,1,990,0,15,129,1,4,384000,2,0,512,512,153,200,0,0,0,1,0,0,1,1520,1,0,2,1
294,Coolpad D539,宇龙,1,2011,3,0,192,1,3,1290,0,15.3,75,1,1.6,20480,0,1,4,8,8,0,0,1,0,0,0,0,0,750,0,0,1,0
295,Twin T66,彤霖,2,2011,0,0,96,1,3,980,0,13.8,100,1,3.2,96000,1,0,128,256,10,130,0,1,0,1,0,1,0,1100,0,0,2,0
296,OKWAP C900,英华达,1,2011,2,0,600,1,4,1455,0,14.4,80,1,2.2,76800,0,1,8,16,10,130,0,0,0,1,0,0,0,800,0,0,1,0
297,EF819,深圳广信,2,2011,0,1,125,1,3,723,0,17,144.8,1,3.8,384000,2,0,512,512,256,500,1,0,0,1,1,1,1,1500,1,0,2,1
298,EA6800,miki,1,2011,3,0,600,1,1,1560,0,13.8,246,1,5,384000,2,0,512,8000,5000,500,1,1,0,1,0,1,0,2200,1,1,2,1
299,BenWee S106,本为,2,2011,2,0,192,1,1,693,1,17,120,1,2.4,76800,0,1,64,128,128,130,0,0,0,1,0,1,0,1800,0,0,1,0
300,UNC E9,深圳友利通,1,2011,3,1,125,0,1,517,1,17.5,119,1,2.4,76800,1,0,16,4,1.53,130,0,0,0,1,0,0,0,1100,0,0,2,0
301,W619,三星,1,2007,3,0,147,0,3,3980,2,18.5,70,1,1.44,16384,0,1,64,32,0.5,0,0,0,0,0,0,0,0,750,0,0,1,0
302,KW838,LG,1,2009,2,0,96,0,5,2580,0,14.95,90,2,1.8,20480,0,1,8,8,2,30,0,0,0,0,0,0,0,820,0,0,1,0
303,C2600,华为,2,2007,0,0,96,0,1,355,0,14,75,1,2.4,76800,0,1,512,1024,12,130,1,1,0,1,0,1,0,800,0,0,1,0
304,S259,三星,1,2007,0,0,96,0,1,898,0,9.9,110,1,2.8,76800,1,0,64,128,0,30,0,0,0,1,0,0,0,1030,0,0,2,0
305,S319,三星,1,2007,0,0,128,0,1,865,2,15.9,110,1,2.8,96000,0,1,64,128,10,30,1,1,0,1,0,1,0,1000,0,0,1,0
306,W599,三星,1,2008,3,0,147,0,3,3880,0,16.4,69,1,1.8,20480,0,1,32,64,0,0,0,1,0,1,0,0,0,900,0,0,1,0
307,I839,三星,1,2007,3,0,147,1,3,3980,2,18.9,65,1,1.77,20480,0,1,4,8,0,0,0,0,0,0,0,0,0,700,0,0,1,0
308,W509,三星,1,2007,3,0,147,0,3,3380,2,14.9,74,1,1.8,16384,0,1,32,64,10,0,0,0,0,0,0,0,0,800,0,0,1,0
309,N7,夏新,1,2008,2,0,96,0,1,2580,0,15.8,110,1,3.2,76800,2,0,384,512,0,320,1,1,0,1,0,1,1,1300,1,0,2,1
310,S199,三星,1,2007,0,0,96,0,1,500,1,18.5,75,1,2,20480,0,1,16,32,3.8,30,0,1,0,1,0,1,0,700,0,0,1,0
311,F609,三星,1,2007,1,0,147,0,1,1650,1,16.8,70,1,1.4,6240,0,1,32,32,64,0,0,0,0,0,0,0,0,1000,0,0,1,0
312,S399,三星,1,2007,0,0,96,0,1,578,0,13.9,65,1,1.8,20480,0,1,8,8,0.3,0,0,1,0,0,0,0,0,700,0,0,1,0
313,F679,三星,2,2007,1,0,147,0,1,1320,2,16.9,75,1,1.33,16384,0,1,16,32,32,0,0,0,0,0,0,0,0,860,0,0,1,0
314,F659,三星,1,2007,1,0,147,0,1,1150,0,9.4,68,1,1.5,14400,0,1,8,4,1,0,0,0,0,0,0,0,0,800,0,0,1,0
315,S299,三星,1,2007,0,0,96,0,1,388,0,13.9,72,1,1.4,16384,0,1,4,16,0.6,0,0,0,0,0,0,0,0,1000,0,0,1,0
316,KX116,LG,1,2007,0,0,96,0,1,378,0,16.5,125,1,2,38720,1,1,128,512,5,200,0,0,0,1,0,0,0,1100,0,0,3,0
317,X180,大显,1,2006,3,0,40,1,1,4980,0,20,131,1,3.5,153600,2,0,256,512,267,500,0,0,0,1,0,1,1,1250,1,1,2,1
318,1325,诺基亚,3,2008,0,0,96,0,1,298,0,15.2,71,1,1.3,14400,0,1,4,4,0.1,0,0,0,0,0,0,0,0,860,0,0,1,0
319,C2008,华为,1,2005,0,0,96,0,1,330,0,14.5,130,1,2.44,172800,0,2,256,256,256,320,1,0,0,1,0,1,0,1400,0,0,1,1
320,C3100,华为,1,2009,0,0,96,0,1,399,2,15.4,92,1,2.4,76800,0,1,64,128,48,130,1,0,0,1,0,0,0,1000,0,0,1,0
321,C2299,华为,2,2007,0,0,96,0,1,460,2,17.45,110,1,2.2,38720,1,0,32,64,128,0,0,1,0,0,0,0,0,900,0,0,2,0
322,C5320,华为,2,2007,0,0,96,0,1,360,0,15,75,1,1.8,19200,0,1,8,4,1,0,0,0,0,0,0,0,0,800,0,0,1,0
323,C2288,华为,1,2007,0,0,96,0,1,365,0,14,100,1,1.8,20480,0,1,64,128,0,30,0,1,0,0,0,0,0,1000,0,0,1,0
324,C2601,华为,2,2007,0,0,96,0,1,348,0,15.3,124,1,2.4,76800,0,1,64,256,0,30,0,1,0,1,0,1,0,1080,0,0,1,0
325,C2801,华为,1,2007,0,0,96,0,1,355,0,14.4,72,1,1.5,14400,0,1,8,16,0.3,0,0,0,0,0,0,0,0,1000,0,0,1,0
326,C528,大显,1,2006,1,0,40,0,1,1380,0,11.5,93,1,2.2,76800,0,1,64,256,2,30,0,0,0,1,0,0,0,1000,0,0,1,0
327,C209,大显,1,2008,0,0,96,0,1,370,1,16,113,1,3.5,153600,1,0,256,512,50,130,0,0,0,1,0,1,1,1280,1,0,2,1
328,I819,三星,1,2006,2,0,147,0,3,1980,2,22,92,1,2.4,76800,0,1,64,256,0,30,0,0,0,1,0,0,0,1150,0,0,1,0
329,S139,三星,1,2006,0,0,96,0,1,360,0,13.5,130,1,2,76800,0,1,64,256,7,30,0,0,0,1,0,0,0,850,0,0,1,0
330,S169,三星,1,2006,0,0,96,0,1,198,1,19.8,72,1,1.5,16384,0,1,4,4,0,0,0,0,0,0,0,0,0,1000,0,0,1,0
331,W579,三星,1,2007,3,0,40,0,5,4980,1,21.15,130,1,2.5,76800,1,2,256,256,100,320,1,1,0,1,0,1,0,1300,0,0,3,1
332,S179,三星,1,2006,0,0,96,0,1,960,0,16,75,1,1.77,20480,0,1,32,128,500,30,0,1,0,0,0,1,0,1350,0,0,1,0
333,M359,三星,1,2006,1,0,147,0,1,1600,2,12.9,104,1,2.6,76800,1,1,4,8,4,130,0,0,0,0,0,0,0,1000,0,0,3,0
334,F589,三星,1,2007,1,0,147,0,1,1980,1,9.9,75,1,1.47,16384,0,1,32,64,0,0,0,0,0,1,0,0,0,780,0,0,1,0
